D17525.CDS.1	0.57916	0.67875	0.64902	0.11068	0.97844	0.40458
D21267.CDS.1	0.15529	0.94098	0.89230	0.07359	0.93086	0.99767
AB000410.CDS.1	0.96254	0.48773	0.91830	0.98988	0.10537	0.62475
AF000573.CDS.1	0.04034	0.42409	0.43538	0.52913	0.63754	0.79602
D13146.CDS.1	0.13059	0.65310	0.63434	0.69388	0.92635	0.03285
D14686.CDS.1	0.65147	0.03256	0.01210	0.92373	0.25138	0.04894
D45371.CDS.1	0.69834	0.97120	0.42177	0.13373	0.50034	0.05931
D45399.CDS.1	0.92974	0.63092	0.71241	0.56408	0.32481	0.63875
J00207.CDS.1	0.59694	0.97628	0.67132	0.60904	0.90001	0.92270
J00314.CDS.1	0.65798	0.47916	0.60145	0.30699	0.58984	0.57989
J02645.CDS.1	0.71157	0.74513	0.52088	0.60387	0.81872	0.45174
J02943.CDS.1	0.20913	0.02713	0.56942	0.73001	0.63100	0.38814
J03069.CDS.1	0.18175	0.23254	0.90520	0.60469	0.25584	0.55599
J03260.CDS.1	0.52796	0.33846	0.13653	0.08215	0.13348	0.28114
J02683.CDS.1	0.60154	0.51706	0.42294	0.02331	0.65079	0.92327
J02876.CDS.1	0.08261	0.58053	0.55420	0.79502	0.14462	0.87900
J02902.CDS.1	0.43378	0.74155	0.85528	0.10510	0.35059	0.75528
J02906.CDS.1	0.02779	0.00857	0.23445	0.62924	0.31556	0.82429
J03459.CDS.1	0.96116	0.56726	0.02270	0.81643	0.67235	0.37329
